YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,2,27000,28988,craigslist
2025,0,10000,34998,craigslist
2020,5,70000,27395,craigslist
2010,15,128000,7600,craigslist
2010,15,170000,4500,craigslist
2009,16,71000,12995,craiglist
2015,10,83000,16688,craigslist
2012,13,98000,8000,craigslist
2020,5,31000,25800,craiglist
2021,4,65000,22433,craiglslist
2023,2,9400,31000,craigslist
2019,6,66000,24500,craigslist
2012,13,99000,8880,craigslist
2017,8,102000,16850,craigslist
